Var1,Var2,Var3,frequency
117.7,423.72,0.0,14.93098581
117.7,423.72,0.0,16.25841418
117.7,423.72,0.0,17.70385659
117.7,423.72,0.0,19.277805
117.7,423.72,0.0,20.99168414
117.7,423.72,0.0,22.85793445
117.7,423.72,0.0,24.89010238
117.7,423.72,0.0,27.10293872
117.7,423.72,0.0,29.51250564
117.7,423.72,0.0,32.13629335
117.7,423.72,0.0,34.99334699
117.7,423.72,0.0,38.10440489
117.7,423.72,0.0,41.49204911
117.7,423.72,0.0,45.18086937
117.7,423.72,0.0,49.19764149
117.7,423.72,0.0,53.57152179
117.7,423.72,0.0,58.33425872
117.7,423.72,0.0,63.52042329
117.7,423.72,0.0,69.16766003
117.7,423.72,0.0,75.31696021
117.7,423.72,0.0,82.01295943
117.7,423.72,0.0,89.30426155
117.7,423.72,0.0,97.24379155
117.7,423.72,0.0,105.8891797
117.7,423.72,0.0,115.3031797
117.7,423.72,0.0,125.5541245
117.7,423.72,0.0,136.716422
117.7,423.72,0.0,148.8710954
117.7,423.72,0.0,162.1063712
117.7,423.72,0.0,176.5183194
117.7,423.72,0.0,192.2115514
117.7,423.72,0.0,209.2999787
117.7,423.72,0.0,227.9076401
117.7,423.72,0.0,248.169602
117.7,423.72,0.0,270.2329388
117.7,423.72,0.0,294.2578004
117.7,423.72,0.0,320.4185748
117.7,423.72,0.0,348.9051536
117.7,423.72,0.0,379.9243109
117.7,423.72,0.0,413.7012036
117.7,423.72,0.0,450.4810063
117.7,423.72,0.0,490.5306904
117.7,423.72,0.0,534.1409624
117.7,423.72,0.0,581.6283737
117.7,423.72,0.0,633.3376185
117.7,423.72,0.0,689.6440359
117.7,423.72,0.0,750.9563341
117.7,423.72,0.0,817.7195572
117.7,423.72,0.0,890.4183159
117.7,423.72,0.0,969.5803045
117.7,423.72,0.0,1055.780132
117.7,423.72,0.0,1149.643492
117.7,423.72,0.0,1251.851705
117.7,423.72,0.0,1363.146664
117.7,423.72,0.0,1484.33622
117.7,423.72,0.0,1616.300045
117.7,423.72,0.0,1759.996018
117.7,423.72,0.0,1916.467176
117.7,423.72,0.0,2086.849287
117.7,423.72,0.0,2272.379095
117.7,423.72,0.0,2474.403295
117.7,423.72,0.0,2694.388309
117.7,423.72,0.0,2933.930929
117.7,423.72,0.0,3194.769911
117.7,423.72,0.0,3478.798591
117.7,423.72,0.0,3788.078634
117.7,423.72,0.0,4124.854992
117.7,423.72,0.0,4491.572205
117.7,423.72,0.0,4890.892144
115.5,415.8,-115.5,2.718281828
115.5,415.8,-115.5,2.959948685
115.5,415.8,-115.5,3.223100756
115.5,415.8,-115.5,3.509648169
115.5,415.8,-115.5,3.821670871
115.5,415.8,-115.5,4.161433722
115.5,415.8,-115.5,4.531402941
115.5,415.8,-115.5,4.934264002
115.5,415.8,-115.5,5.372941131
115.5,415.8,-115.5,5.85061853
115.5,415.8,-115.5,6.370763487
115.5,415.8,-115.5,6.937151552
115.5,415.8,-115.5,7.553893933
115.5,415.8,-115.5,8.225467343
115.5,415.8,-115.5,8.956746496
115.5,415.8,-115.5,9.753039487
115.5,415.8,-115.5,10.62012632
115.5,415.8,-115.5,11.56430088
115.5,415.8,-115.5,12.59241659
115.5,415.8,-115.5,13.71193616
115.5,415.8,-115.5,14.93098581
115.5,415.8,-115.5,16.25841418
115.5,415.8,-115.5,17.70385659
115.5,415.8,-115.5,19.277805
115.5,415.8,-115.5,20.99168414
115.5,415.8,-115.5,22.85793445
115.5,415.8,-115.5,24.89010238
115.5,415.8,-115.5,27.10293872
115.5,415.8,-115.5,29.51250564
115.5,415.8,-115.5,32.13629335
115.5,415.8,-115.5,34.99334699
115.5,415.8,-115.5,38.10440489
115.5,415.8,-115.5,41.49204911
115.5,415.8,-115.5,45.18086937
115.5,415.8,-115.5,49.19764149
115.5,415.8,-115.5,53.57152179
115.5,415.8,-115.5,58.33425872
115.5,415.8,-115.5,63.52042329
115.5,415.8,-115.5,69.16766003
115.5,415.8,-115.5,75.31696021
